298,25/06/22
288,25/07/24
74,25/07/27
197,25/07/27
55,25/07/30
229,25/07/30
254,25/07/30
95,25/07/31
97,25/07/31
98,25/07/31
164,25/07/31
167,25/07/31
190,25/07/31
191,25/07/31
208,25/07/31
241,25/07/31
242,25/07/31
263,25/07/31
T30,25/07/31
T31,25/07/31
44,25/08/02
56,25/08/02
105,25/08/02
155,25/08/02
225,25/08/02
T8,25/08/02
T20,25/08/02
63,25/08/03
175,25/08/09
37,25/08/10
68,25/08/10
15,25/08/14
79,25/08/16
184,25/08/16
257,25/08/16
304,25/08/16
101,25/08/17
264,25/08/17
265,25/08/26
134,25/08/30
136,25/08/31
193,25/08/31
198,25/08/31
T14,25/08/31
T28,25/08/31
T29,25/08/31
90,25/09/03
138,25/09/03
139,25/09/03
192,25/09/03
279,25/09/03
T19,25/09/03
217,25/09/07
284,25/09/07
34,25/09/13
283,25/09/13
T15,25/09/13
49,25/09/14
216,25/09/14
103,25/09/18
149,25/09/20
277,25/09/20
252,25/09/21
259,25/09/21
28,25/09/24
10,25/09/25
35,25/09/25
42,25/09/25
80,25/09/25
153,25/09/25
165,25/09/25
256,25/09/25
T13,25/09/25
52,25/09/27
157,25/09/28
T1,25/10/01
72,25/10/02
99,25/10/02
219,25/10/02
278,25/10/02
25,25/10/03
39,25/10/05
258,25/10/08
247,25/10/09
92,25/10/12
107,25/10/12
250,25/10/12
281,25/10/12
286,25/10/12
T18,25/10/12
299,25/10/15
124,25/10/18
119,25/10/19
221,25/10/19
267,25/10/19
11,25/10/22
23,25/10/22
117,25/10/22
127,25/10/22
169,25/10/22
253,25/10/22
303,25/10/22
6,25/10/23
12,25/10/23
38,25/10/23
85,25/10/23
91,25/10/23
143,25/10/23
181,25/10/23
212,25/10/23
245,25/10/23
282,25/10/23
289,25/10/23
93,25/10/25
5,25/10/26
100,25/10/29
126,25/10/29
206,25/10/29
222,25/10/29
306,25/10/29
T12,25/10/29
T25,25/10/29
47,25/11/02
280,25/11/02
215,25/11/05
128,25/11/06
275,25/11/06
60,25/11/08
13,25/11/09
21,25/11/09
64,25/11/09
24,25/11/14
113,25/11/15
114,25/11/15
78,25/11/16
87,25/11/16
145,25/11/16
179,25/11/16
209,25/11/20
301,25/11/20
305,25/11/20
1,25/11/23
177,25/11/23
2,25/11/27
262,25/11/27
8,25/11/29
251,25/11/29
26,25/12/03
29,25/12/03
96,25/12/03
123,25/12/03
132,25/12/03
140,25/12/03
158,25/12/03
161,25/12/03
176,25/12/03
T16,25/12/03
T17,25/12/03
144,25/12/04
162,25/12/04
218,25/12/04
T3,25/12/04
T22,25/12/04
36,25/12/05
20,25/12/07
76,25/12/07
84,25/12/07
130,25/12/07
T23,25/12/07
291,25/12/11
292,25/12/11
14,25/12/13
62,25/12/13
199,25/12/20
7,25/12/21
77,25/12/21
121,25/12/24
9,25/12/25
71,25/12/25
112,25/12/25
147,25/12/25
152,25/12/25
174,25/12/25
230,25/12/25
240,25/12/25
255,25/12/25
261,25/12/25
269,25/12/25
296,25/12/25
19,25/12/28
150,25/12/28
237,25/12/28
276,25/12/28
T9,25/12/28
226,25/12/29
249,25/12/29
32,26/01/03
274,26/01/03
16,26/01/04
125,26/01/08
244,26/01/08
166,26/01/10
248,26/01/10
293,26/01/14
69,26/01/15
211,26/01/18
233,26/01/18
48,26/01/25
109,26/01/25
186,26/01/25
187,26/01/25
207,26/01/25
227,26/01/25
243,26/01/25
285,26/01/25
75,26/01/29
108,26/01/29
273,26/01/29
58,26/02/01
106,26/02/01
129,26/02/01
188,26/02/01
T11,26/02/01
53,26/02/05
81,26/02/05
135,26/02/05
137,26/02/05
30,26/02/06
43,26/02/07
89,26/02/07
115,26/02/07
122,26/02/07
196,26/02/07
205,26/02/07
272,26/02/07
178,26/02/10
287,26/02/11
40,26/02/12
83,26/02/12
223,26/02/12
231,26/02/13
146,26/02/19
4,26/02/26
17,26/02/26
27,26/02/26
54,26/02/26
57,26/02/26
59,26/02/26
82,26/02/26
94,26/02/26
104,26/02/26
111,26/02/26
116,26/02/26
120,26/02/26
131,26/02/26
133,26/02/26
159,26/02/26
160,26/02/26
170,26/02/26
200,26/02/26
232,26/02/26
239,26/02/26
T6,26/02/26
T7,26/02/26
T24,26/02/26
142,26/02/27
168,26/02/27
236,26/02/27
238,26/02/27
18,26/02/28
22,26/02/28
33,26/02/28
46,26/02/28
50,26/02/28
67,26/02/28
70,26/02/28
88,26/02/28
110,26/02/28
118,26/02/28
141,26/02/28
163,26/02/28
171,26/02/28
180,26/02/28
182,26/02/28
194,26/02/28
201,26/02/28
204,26/02/28
213,26/02/28
214,26/02/28
234,26/02/28
266,26/02/28
271,26/02/28
290,26/02/28
294,26/02/28
297,26/02/28
T2,26/02/28
T10,26/02/28
T21,26/02/28
31,26/03/04
41,26/03/04
51,26/03/04
86,26/03/04
151,26/03/04
156,26/03/04
173,26/03/04
189,26/03/04
195,26/03/04
T4,26/03/04
T27,26/03/04
268,26/03/05
3,未返却
45,未返却
61,未返却
65,未返却
66,未返却
73,未返却
102,未返却
148,未返却
154,未返却
172,未返却
183,未返却
185,未返却
202,未返却
203,未返却
210,未返却
220,未返却
224,未返却
228,未返却
235,未返却
246,未返却
270,未返却
295,未返却
300,未返却
302,未返却
T5,未返却
T26,未返却
260,28/02/28
